title,authors,summaries,page
Török világ Magyarországon (1. rész): Történeti regény,"Jókai, Mór","“Török világ Magyarországon (1. rész)” by Mór Jókai is a historical novel written in the late 19th century. The story unfolds during a tumultuous period in Hungary, particularly in Transylvania, showcasing the societal and political upheaval of the era. The narrative focuses on various characters, including a wise prince, a clever and charismatic Hungarian gentleman, and other figures caught in the complex web of allegiances and conflicts during the Turkish influence in the region.  The opening of the novel sets the stage by describing a serene summer night in Cluj, where the prince, Apafi, is captivated by the wonders of astronomy. Accompanied by his court advisors, he becomes intrigued by mysterious cosmic phenomena that disrupt the night's tranquility. As rumors of strange events spread among the townsfolk, the narrative hints at deeper societal tensions and spiritual unease, reflecting a period marked by superstition and prophetic fears. Jókai introduces a variety of characters, including wise priests and clever townspeople, who engage in discussions about omens and the nature of good and evil, foreshadowing the challenges that lie ahead for the inhabitants of this volatile time. (This is an automatically generated summary.)",1
Arany mesekönyv : $b A világ legszebb meséi,"Benedek, Elek",,1
Ipolyi Arnold népmesegyüjteménye; Magyar népköltési gyüjtemény 13. kötet,"Ipolyi, Arnold","""Ipolyi Arnold népmesegyüjteménye; Magyar népköltési gyüjtemény 13. kötet"" by Ipolyi is a collection of Hungarian folk tales compiled in the early 20th century. The work serves as an anthology of traditional narratives, drawing upon the rich reservoir of Hungarian folklore, including myths and fables that reflect the cultural values and beliefs of the time. This compilation is part of a broader movement to preserve national literature and heritage during a period of growing interest in folklore studies.  At the start of the collection, the reader is introduced to a variety of folk stories, beginning with the tale of ""Csonkatehén fija,"" which follows the journey of a character born of a unique mother. This narrative illustrates themes of strength, friendship, and adventure as the protagonist encounters various figures like the Fagörbítő (Wood Bender) and engages in contests of strength. The opening reveals a focus on collective narratives where characters unite to confront challenges, showcasing the values of camaraderie and collective effort within Hungarian folklore. Through these stories, the rich tapestry of mythical beings, trials, and moral lessons emerge, setting the stage for a deeper exploration of the tales that follow. (This is an automatically generated summary.)",1
Don Quijote de la Mancha,"Cervantes Saavedra, Miguel de","""Don Quijote de la Mancha"" by Miguel de Cervantes Saavedra is a Spanish novel published in two parts in 1605 and 1615. A minor nobleman reads so many chivalric romances that he loses his sanity and decides to become a wandering knight. Renaming himself Don Quixote, he recruits a simple farm laborer, Sancho Panza, as his squire. Together they embark on adventures where Don Quixote's delusions transform windmills into giants and inns into castles, blurring the line between fantasy and reality in this founding work of modern literature. (This is an automatically generated summary.)",1
"A jövő század regénye, 1. rész","Jókai, Mór","""A jövő század regénye, 1. rész"" by Mór Jókai is a novel first published in 1872.

Set between 1952 and 2000, this visionary work imagines a future where Hungary faces invasion from an expansionist Russian state called Nihil. A brilliant inventor named Tatrangi Dávid creates revolutionary technologies—flying machines and a miraculous material called ichor—to defend his homeland. When forced into exile at the Danube Delta, he establishes a utopian society that transforms global politics through technological advancement. The narrative blends military conflict with bold predictions about aviation, diplomacy, and international power struggles. (This is an automatically generated summary.)",1
Életemből (II. rész): Igaz történetek. Örök emlékek. Humor. Utleirás.,"Jókai, Mór","""Életemből (II. rész)"" by Mór Jókai is a historical account written in the late 19th century. This work serves as a collection of true stories, memories, humor, and travel writing, reflecting on the experiences and events from the author’s life, particularly within the context of Hungarian history and society. Jókai’s narrative aims to capture the essence of heroism, patriotism, and the struggles faced during tumultuous periods in Hungary.  At the start of the work, the reader is thrust into the chaos of war. The narrative opens with a vivid depiction of a lost battle at Tápióbicske, where Austrian forces are engaged in a fierce conflict against Hungarian troops. The story highlights a duel between two brave cavalry leaders, Sebő, the Hungarian commander, and Riedesel, his Austrian counterpart. Their fierce hand-to-hand battle symbolizes the broader struggle for national pride and survival amidst overwhelming odds. The portrayal of these characters sets the stage for a reflection on courage and the collective spirit of the defenders of Hungary as they face adversity in the name of their homeland. (This is an automatically generated summary.)",1
Michelangelo élete,"Rolland, Romain",,1
Csongrádmegyei gyüjtés; Magyar népköltési gyüjtemény 2. kötet,"Török, Károly","""Csongrádmegyei gyüjtés; Magyar népköltési gyüjtemény 2. kötet"" by Károly Török is a collection of Hungarian folk poetry and songs compiled in the late 19th century. This volume represents regional folk traditions, primarily focusing on the cultural heritage of Csongrád County. It encompasses an array of ballads, songs, and folk tales, aiming to preserve and share the rich oral traditions of Hungarian culture.  The opening of the collection introduces the context and purpose of the compilation, emphasizing the tireless efforts of the collector, Károly Török, who dedicated his work to the Kisfaludy Society. It outlines the variety of content within the anthology, such as ballads, love songs, and tales that reflect the regional flavors and shared heritage found throughout Csongrád County. The foreword expresses hope for similar collections from other regions, reinforcing the value of folk traditions in maintaining cultural identity and continuity. (This is an automatically generated summary.)",1
Jocus és Momus,"Jókai, Mór","""Jocus és Momus"" by Mór Jókai is a novel written in the late 19th century. The book appears to explore themes of social life and human quirks through a series of humorous anecdotes involving various characters. It reflects on societal issues, combining lighthearted storytelling with a critique of human behavior, centered around notable figures in Hungarian culture and politics.  The opening of the novel introduces several characters, beginning with Ferencz, an amiable emperor often seen walking the streets of Vienna where he is met with great respect from the public. The narrative then shifts to a clever exchange involving Ferencz and old Tolnay, showcasing their interactions with humor and social commentary. Following this, attention is drawn to the local tavern and its patrons, setting a vibrant scene filled with whimsy. Overall, the beginning effectively immerses the reader in a world of colorful characters and witty dialogues, hinting at the broader social dynamics that will unfold throughout the story. (This is an automatically generated summary.)",1
Kenyér és bor: új versek,"Kosztolányi, Dezső","""Kenyér és bor: új versek"" by Dezső Kosztolányi is a collection of poetry written in the early 20th century. The poems reflect on themes of life, love, loss, and the passage of time, intertwining personal experience with broader societal observations. Kosztolányi's work is marked by a deep sense of melancholy and introspection, delving into the human condition and the emotional landscape of existence.  The opening portion of the collection introduces readers to a range of poignant emotions and thoughts. It begins with a dedication to a friend and artist, establishing a personal connection. The first poem evokes feelings of contentment mixed with underlying sorrow, as the speaker reflects on material abundance yet struggles with existential questions. As the verses progress, Kosztolányi explores love, mortality, and memories of youth with vivid imagery and lyrical language. The themes of longing and nostalgia emerge strongly, setting the stage for deeper explorations in the rest of the collection. (This is an automatically generated summary.)",1
Székelyföldi gyüjtés; Magyar népköltési gyüjtemény 3. kötet,"Benedek, Elek, Kriza, János, Orbán, Balázs, Sebesi, Jób","""Székelyföldi gyüjtés; Magyar népköltési gyüjtemény 3. kötet"" by János Kriza et al. is a collection of traditional Hungarian folk poetry and tales written in the late 19th century. This volume is the third in a series published under the auspices of the Kisfaludy Society and consists mainly of folk ballads, songs, and stories gathered from various contributors, reflecting the cultural heritage of the Székely region. The book likely appeals to readers interested in Hungarian folklore, history, and cultural traditions.  The opening of the collection includes a foreword that introduces the compilation's purpose and the contributors involved in its creation. It explains that the material has been curated from the works of notable folk collectors like János Kriza, Balázs Orbán, and Elek Benedek, highlighting the importance of preserving and celebrating folk traditions. The foreword sets a tone of gratitude and enthusiasm for the contributions of both the collectors and the readers, inviting the appreciation of Hungarian folk literature. It also notes the inclusion of various thematic elements within the collection, such as ballads of love and heroism, setting the stage for the rich tapestry of stories and songs that follow. (This is an automatically generated summary.)",1
Szegény gazdagok: Regény,"Jókai, Mór","""Szegény gazdagok: Regény"" by Mór Jókai is a novel written in 1860. The story interweaves the tale of a masked bandit called Fatia Negra with that of a wealthy moneylending family. When young Henriette is forced into marriage with the mysterious Baron Hátszegi despite her love for another, dark secrets begin to surface. The baron's unexplained disappearances, a counterfeiting ring hidden in mountain caves, and dangerous jealousies converge in this tale of coercion, hidden identities, and forbidden romance. (This is an automatically generated summary.)",1
Degré Alajos novellái (2. kötet),"Degré, Alajos","""Degré Alajos novellái (2. kötet)"" by Alajos Degré is a collection of short stories written in the mid-19th century. The work presents various narratives exploring themes of love, ambition, and the complexities of personal relationships, often with a humorous touch. Readers are introduced to a range of characters grappling with social expectations and personal desires in their pursuit of happiness and recognition.  The opening portion of the collection introduces two main characters, Ledéry Otto and Verebesy Imre, who engage in a conversation about their regrets over missed opportunities, particularly relating to wealth and marriage. Otto laments his unmarried status at twenty-seven while pondering his past decisions, and this sparks a discussion on the prospects of love. As their friend prepares to propose to a wealthy woman, the dynamics of friendship, ambition, and social status play out, setting the stage for the humorous and poignant situations that characterize the stories to come. The narrative captures their personalities and societal pressures, creating a relatable foundation for the explorations that follow in the collection. (This is an automatically generated summary.)",1
"A jövő század regénye, 2. rész","Jókai, Mór","""A jövő század regénye, 2. rész"" by Mór Jókai is a novel serialized beginning in 1872. Set between 1952 and 2000, this unconventional work imagines a future where the Hungarian-centered Monarchy faces invasion from an expansionist anarchist state called Nihil. Inventor Tatrangi Dávid's revolutionary technologies—including flying machines and a volcanic material called ichor—become crucial in defending against aggression. The narrative shifts from dystopian warfare to utopian peace as diplomatic and military victories reshape global politics, though the novel's ambitious scope remains debated by literary scholars. (This is an automatically generated summary.)",1
Gaal György magyar népmese-gyűjteménye (3. kötet),"Gaal, György","""Gaal György magyar népmese-gyűjteménye (3. kötet)"" by György Gaal is a collection of Hungarian folktales published in the mid-19th century. This volume serves as the third part of a series that seeks to preserve and present traditional Hungarian stories, reflecting the culture and values of the time. The work is likely characterized by its rich narrative style and moral lessons, typical of folk literature.  The opening of this collection features a brief introduction by the publishers and outlines the various tales included in the volume. It highlights the importance of preserving national stories and introduces a few specific folktales, each beginning with colorful and imaginative premises, such as encounters with magical beings and princes embarking on adventurous quests. The stories promise to be filled with themes of courage, cleverness, and the struggles between good and evil, inviting readers into the enchanting world of Hungarian folklore. (This is an automatically generated summary.)",1
Zágoni Mikes Kelemen törökországi levelei (2. kötet),"Mikes, Kelemen","""Zágoni Mikes Kelemen törökországi levelei (2. kötet)"" by Kelemen Mikes is a collection of fictional letters written between 1717 and 1758. This second volume continues Mikes's correspondence to an invented countess, written during his exile in Ottoman Turkey following the failed Rákóczi uprising. The letters chronicle the daily struggles of Hungarian exiles in Rodosto, weaving together personal emotional reflections, historical accounts, anecdotes, and descriptions of Turkish customs. Through a conversational style marked by humor and melancholy, Mikes captures the fading hopes of return and eventual resignation to fate. (This is an automatically generated summary.)",1
Népmesék Heves- és Jász-Nagykun-Szolnok-megyéből; Magyar népköltési gyüjtemény 9. kötet,"Berze Nagy, János","""Népmesék Heves- és Jász-Nagykun-Szolnok-megyéből; Magyar népköltési gyüjtemény"" is a collection of Hungarian folk tales edited by Vargha Gyula, published in the early 20th century. This anthology contains traditional stories primarily gathered from the region of Heves County, focusing on a village called Besenyőtelek, and highlights the narrative techniques and cultural significance of these folk tales. The book aims to preserve and celebrate the rich oral storytelling tradition of the Hungarian people, providing both entertainment and insight into their cultural heritage.  At the start of the collection, the preface details the unique qualities of the stories, focusing on the abundance of folk tales collected from a single village, which was uncommon in previous collections. The opening portion introduces several tales featuring common folklore motifs, such as heroes facing mythical creatures, often involving three brothers and various magical challenges. In particular, the first story outlines the journey of three brothers as they embark on a quest, encountering magical beings and overcoming obstacles in their pursuit of love and heroism, embodying the classic structure of Hungarian folk narratives where cunning and bravery prevail. (This is an automatically generated summary.)",1
Egy naplopó tünődései,"Jerome, Jerome K. (Jerome Klapka)","""Egy naplopó tünődései"" by Jerome K. Jerome is a collection of humorous essays published in 1886. This work features fourteen independent articles exploring everyday topics from idleness and love to cats, babies, and memory. Written in Jerome's characteristic witty style, these reflections on ordinary life helped establish him as a leading English humorist. The essays offer playful observations on human nature and daily experiences, presenting the author's lighthearted philosophy on everything from being hard up to the peculiarities of furnished apartments. (This is an automatically generated summary.)",1
A láthatatlan ember: Regény,"Gárdonyi, Géza","""A láthatatlan ember: Regény"" by Géza Gárdonyi is a novel published in 1902. Set in the 5th century, it follows Zéta, a Greek slave who travels with his master to Attila the Hun's city along the Tisza River. When Zéta glimpses a Hun maiden named Emőke, he falls desperately in love and voluntarily becomes her father's servant to stay near her. Through battles, plagues, and Attila's death, Zéta's journey becomes one of adventure, devotion, and ultimately unexpected transformation in a world of empires and warfare. (This is an automatically generated summary.)",1
Édes anyaföldem! : Egy nép s egy ember története (2. kötet),"Benedek, Elek","""Édes anyaföldem! : Egy nép s egy ember története (2. kötet)"" by Elek Benedek is a literary work focusing on Hungarian history and culture, likely written in the early 20th century. The narrative explores themes of identity, belonging, and the deep connection one has with their homeland, particularly through the eyes of the protagonist, who seems to undergo a journey both physically and emotionally.   At the start of the narrative, the protagonist, referred to as the ""prodigal son,"" reflects on his past struggles and a newfound appreciation for life as he travels towards Pest, filled with hope and dreams. This journey coincides with the joyful celebration of Easter, symbolizing a personal resurrection and renewed purpose. He encounters old friends and contemplates his relationship with writing and literature, expressing a desire to honor his father's legacy through his work. The opening portrays a vivid tapestry of his memories and aspirations, alongside his observations of the Hungarian landscape, setting the tone for themes of heritage and the importance of roots in subsequent chapters. (This is an automatically generated summary.)",1
A Pál-utcai fiúk: Regény kis diákok számára,"Molnár, Ferenc","""A Pál-utcai fiúk: Regény kis diákok számára"" by Ferenc Molnár is a novel first published in 1906. Set in Budapest in March 1889, it follows two rival gangs of schoolboys—the Pál Street Boys and the Red-Shirts—battling for control of their beloved playground, the ""grund."" At the center stands Nemecsek Ernő, a small, blond boy often underestimated by his peers, whose courage and loyalty will determine the outcome. This tale of childhood honor, betrayal, and sacrifice has become Hungary's most internationally celebrated novel. (This is an automatically generated summary.)",1
Székelyföldi gyüjtés; Magyar népköltési gyüjtemény 7. kötet,"Mailand, Oszkár","""Székelyföldi gyűjtés; Magyar népköltési gyűjtemény 7. kötet"" by Oszkár Mailand is a collection of folk songs and traditional tales written in the early 20th century. The work aims to preserve the nearly extinct native expressions of the Székely people, highlighting the richness of their cultural heritage amidst the influences of modernization and other ethnicities. Mailand's collection serves as a critical artifact reflecting the folk spirit and poetic expression of the Székely community.  The opening of this volume provides an introduction to the motivations behind the collection, detailing how the Kisfaludy Society commissioned Mailand to gather folk songs and traditions from the Székely population to prevent their disappearance. It reveals Mailand’s concerns about outside influences, particularly from the Romanian culture, which has gradually seeped into Székely traditions. He begins his fieldwork passionately, emphasizing the importance of capturing the pure essence of Székely folklore before it fades due to external pressures. Amidst his findings, he documents real-life accounts, expressions, and details of the people he encounters during his collection efforts. (This is an automatically generated summary.)",1
"Állatok, emberek és istenek = $b Beasts, men and gods","Ossendowski, Ferdynand Antoni","""Állatok, emberek és istenek"" (Beasts, Men and Gods) by Ferdynand Antoni Ossendowski is a historical account written in the early 20th century. The book chronicles the author's extraordinary escape from revolutionary Russia through Siberia, Mongolia, and Tibet, offering a unique perspective on political upheaval, cultural encounters, and personal survival in times of chaos. It centers on Ossendowski’s perilous journey as he flees the Bolsheviks, highlighting both the harsh realities of the landscape and the people—friends, enemies, and mysterious strangers—he encounters along the way.  The opening of the book introduces us to Ossendowski’s life in Krasnoyarsk, Siberia during the Russian Revolution, where immediate danger forces him to flee into the Siberian wilderness. He describes his desperate escape from Bolshevik soldiers, surviving in the taiga with the help of an enigmatic companion named Ivan. Through encounters with danger, harsh weather, wild animals, and strangers whose motivations are unclear, Ossendowski adapts to a solitary life in nature, punctuated by reflections on both human brutality and resilience. His journey shifts from basic survival—hunting, fishing, building shelter—to navigating war-torn lands, passing through hostile villages and negotiating with suspicious officials. The narrative paints a vivid picture of both the daunting landscapes and the constant threat of violence, setting the stage for a larger exploration of the intersection between civilization, wilderness, and the human spirit. (This is an automatically generated summary.)",2
Egy haditudósító emlékei : $b 1914 november - 1915 november,"Molnár, Ferenc","""Egy haditudósító emlékei: 1914 november - 1915 november"" by Ferenc Molnár is a historical account written in the early 20th century. The narrative chronicles the experiences of a war correspondent during World War I, capturing the tumultuous atmosphere of the time along with personal observations from the front lines. The book not only documents the events of the war but also delves into the emotions and struggles faced by those involved.  The opening of this work sets the scene in Budapest during a hot summer's day, leading into an unexpected tension as rumors of impending war swirl around the characters. The narrator provides vivid descriptions of the oppressive heat, the mundane chatter of café patrons, and the palpable sense of anticipation in the air. As news of the crisis unfolds, the protagonist reflects on the dramatic shift from a peaceful life to the reality of conflict, painting a picture of the chaotic yet deeply human experiences during this troubling time. The narrative style blends sensory details with a philosophical awareness, hinting at the transformation the war will bring to society and personal lives alike. (This is an automatically generated summary.)",2
A vörös regina: regény,"Abonyi, Árpád","""A vörös regina: regény"" by Árpád Abonyi is a novel written in the early 20th century. The story begins in 1914 and follows the life of a reluctant soldier, who, after being called up to service, leaves behind his isolated life in the forests to face the realities and chaos of war. The narrative focuses on his experiences as he grapples with the loss of solitude and the complexities of camaraderie in the military.  The opening of the book presents the protagonist bidding farewell to his quiet life in a remote forest lodge as he prepares to join his regiment at the outbreak of World War I. He reflects on his solitary existence and the simplicity of life in the woods, contrasting it with the bustling and vibrant scene in the city as he arrives for enlistment. The narrative captures his mixed feelings of resignation and curiosity about the impending journey, along with a sense of duty that drives him forward despite the challenges ahead. As he transitions from his familiar surroundings into the unknowns of military life, the tone hints at deeper themes of camaraderie and the stark realities of war that will unfold as the story progresses. (This is an automatically generated summary.)",2
Nippon-ország naposkertje : $b Japán népmesék,"Kúnos, Ignácz","""Nippon-ország naposkertje: Japán népmesék"" by Kúnos Ignác is a collection of Japanese folk tales written in the early 20th century. This volume features a rich tapestry of narratives that showcase unique characters and moral lessons, often touched with elements of magic and adventure. The stories take readers deep into the essence of Japanese folklore, presenting various themes including bravery, friendship, and the consequences of greed.  The opening of this collection introduces readers to the enchanting world of Japan through vivid and lyrical illustrations of nature, establishing a magical ambiance. The initial tales focus on whimsical characters such as frogs and mystical creatures, highlighting their adventures and interactions that reveal deeper life truths. For instance, two frogs from Tokyo and Kyoto set off on a journey to meet each other, only to comically discover they had both dreamed of the same adventure. Other stories, such as that of Momotaro, explore themes of bravery, strength, and the importance of companionship in the face of challenges, setting the stage for a delightful exploration of Japan's rich narrative tradition. (This is an automatically generated summary.)",2
Légy jó mindhalálig,"Móricz, Zsigmond","""Légy jó mindhalálig"" by Zsigmond Móricz is a novel set in 1892. Eleven-year-old Misi Nyilas, a top student at a Reformed college in Debrecen, comes from an impoverished family but earns respect through his intelligence and integrity. When he loses a lottery receipt entrusted to him, the honest boy becomes trapped in a web of lies and adult intrigues. Facing a tribunal that threatens to destroy him, Misi confronts human cruelty and injustice while clinging to his belief in goodness. (This is an automatically generated summary.)",2
Az angol irodalom története,"Voinovich, Géza","""Az angol irodalom története"" by Géza Voinovich is a historical account written in the early 20th century. The book provides a comprehensive overview of the development of English literature from its earliest beginnings through significant literary periods, highlighting notable authors and their contributions. It serves as an exploration of the evolution of English literary forms and themes, including poetry, prose, and drama.  The opening of the work introduces the subject matter, focusing initially on the ancient and early medieval phases of English literature. Voinovich discusses the cultural context post-Roman occupation, referencing the influence of Celtic tribes and the introduction of Christianity. He emphasizes the significance of seminal works such as ""Beowulf"" and the transitions from pagan to Christian literature, setting the stage for a broader examination of literary movements, key figures, and the societal changes that shaped English literary traditions. The foundation laid in this opening signals the depth of analysis the book promises in exploring the dynamic history of English literature. (This is an automatically generated summary.)",2
